nombre;isin ;retrocesion
Sigma Investment House FCPMultiperfil Equilibrado ;LU1697016878;1,05%
SIH Ahorro A FI;ES0141580037;0,47%
SIH Capital FI;ES0161992005;1,37%
SIH FCP - Flexible Fixed Income USD;LU1697013008;0,98%
SIH FCP-Global Equity LU2375689580;LU2375689580;2,50%
SIH Healthcare A FI;ES0170865002;1,47%
SIH Renta Fija A FI;ES0142167032;1,12%
SISF GLOBAL EQ ALPHA A ACC EUR;LU0248168428;0,73%
SISF JAPANESE EQ B ACC EURH;LU0236738190;1,21%
SISF LATIN AMERICAN A ACC EUR;LU0248181363;0,70%
THEMATICS META FUND R ACC EUR;LU1951204046;0,88%
Threadneedle Pan European Sm Comp;LU1829329819;0,83%
TREA RENTA FIJA AHORRO, FI;ES0125240038;0,38%
TREA RENTA FIJA AHORRO, FI;ES0138612033;0,38%
TREA RENTA FIJA FI;ES0138614039;0,00%
UBS EQ ASIAN SMALLER COMPANIES PACC USD;LU0066402651;0,95%
UBS RENTA FIJA 0-5 FI B ACC EUR;ES0180470009;0,39%
US PREMIUM EQUITIES DH ACC EUR;LU0320896664;0,75%
US VALUE FUND A ACC EUR;IE0031575271;0,90%
VALENTUM FI ACC EUR;ES0182744005;0,00%
VONTOBEL EUROPEAN EQUITY B ACC EUR;LU0090738252;0,82%
Wellington Strategic European Equity Fund EUR D Ac;IE00B8BPMF80;0,00%
WF EURO CRDT TTL RTRN A AC EUR;LU1164219682;0,47%
