isin,name,asset_type,asset_subtype,region_primary,risk_bucket,classification_confidence,exposure_confidence,warnings,audit_flags,is_suitable_low_risk,is_sector_fund,sector_focus,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
LU1706854152,Amundi S.F. - Diversified Short-Term Bond Select A EUR ND,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Diversificada Corto Plazo EUR,0.0,100.0,0.0,0.0
LU1717592262,Groupama Global Inflation Short Duration NC,UNKNOWN,UNKNOWN,GLOBAL,MEDIUM,0.95,0.4,,UNKNOWN_ASSET_TYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,Morningstar Global Treasury Inflation-Linked Securities GR Hedged EUR,0.0,0.0,0.0,0.0
LU1838941372,Candriam Bonds Floating Rate Notes C EUR Cap,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,SHORT,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
LU1882457143,Amundi Funds - Emerging Markets Corporate High Yield Bond A EUR (C),FIXED_INCOME,UNKNOWN,GLOBAL,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Deuda Corporativa Global Emergente,0.0,100.0,0.0,0.0
LU1882457739,Amundi Funds - Emerging Markets Corporate High Yield Bond C EUR (C),FIXED_INCOME,UNKNOWN,GLOBAL,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Deuda Corporativa Global Emergente,0.0,100.0,0.0,0.0
LU1882462655,Amundi Funds - Emerging Markets Short Term Bond A2 EUR (C),FIXED_INCOME,UNKNOWN,GLOBAL,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Global Emergente,0.0,100.0,0.0,0.0
LU1882462739,Amundi Funds - Emerging Markets Short Term Bond A2 EUR Hgd (C),FIXED_INCOME,UNKNOWN,GLOBAL,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU1883334275,Amundi Funds - Global Subordinated Bond A EUR (C),UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,0.5,0.4,,UNKNOWN_ASSET_TYPE; MISSING_REGION_PRIMARY; LOW_CONFIDENCE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,,0.0,0.0,0.0,0.0
LU1902444584,CPR Invest - Climate Bonds Euro - A EUR - Acc,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Deuda Corporativa EUR,0.0,100.0,0.0,0.0
LU1915690918,Nordea 1 - Active Rates Opportunities Fund Fund E EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,SHORT,RF,RF Diversificada EUR,0.0,100.0,0.0,0.0
LU1951921383,Allianz Global Investors Fund - Allianz Credit Opportunities AT EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,SHORT,RF,RF Flexible EUR,0.0,100.0,0.0,0.0
LU1965927921,DWS Invest ESG Floating Rate Notes LC,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
LU1982200609,DWS Invest Corporate Green Bonds LC,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Deuda Corporativa EUR,0.0,100.0,0.0,0.0
